               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12602,             0.10918,             0.08846,                   0,                   0,                   0,                   0,             0.12001,            0.050521,            0.086371,                 0.1,                   0,                   0
                   1,             0.12434,            0.093353,            0.087585,                   0,                   0,                   0,                   0,             0.11994,            0.050478,            0.086282,            0.099098,           9.802e-05,           9.802e-05
                   2,             0.12428,            0.083161,            0.087458,                   0,                   0,                   0,                   0,             0.11977,            0.050486,            0.086187,            0.098192,          0.00019208,          0.00019208
                   3,             0.12434,             0.10454,            0.088936,                   0,                   0,                   0,                   0,             0.11947,            0.050559,             0.08607,            0.097282,          0.00028218,          0.00028218
                   4,             0.12481,            0.093817,            0.087734,                   0,                   0,                   0,                   0,             0.11905,            0.050739,            0.085906,            0.096368,          0.00036832,          0.00036832
                   5,             0.12429,            0.099431,            0.087281,                   0,                   0,                   0,                   0,             0.11857,            0.050918,            0.085767,            0.095451,           0.0004505,           0.0004505
                   6,             0.12252,              0.1004,            0.087737,                   0,                   0,                   0,                   0,             0.11799,            0.051189,            0.085609,            0.094529,          0.00052872,          0.00052872
                   7,             0.12236,            0.099545,             0.08825,                   0,                   0,                   0,                   0,             0.11731,            0.051548,            0.085475,            0.093603,          0.00060298,          0.00060298
                   8,             0.12375,            0.081036,            0.089341,                   0,                   0,                   0,                   0,             0.11669,            0.051828,            0.085317,            0.092673,          0.00067328,          0.00067328
                   9,             0.11995,            0.093838,            0.086179,                   0,                   0,                   0,                   0,             0.11589,             0.05225,            0.085178,             0.09174,          0.00073962,          0.00073962
                  10,             0.12031,             0.10694,            0.086519,                   0,                   0,                   0,                   0,             0.11507,            0.052673,            0.085018,            0.090802,            0.000802,            0.000802
                  11,             0.12213,             0.11646,            0.086942,                   0,                   0,                   0,                   0,              0.1143,               0.053,            0.084832,             0.08986,          0.00086042,          0.00086042
                  12,             0.11984,            0.091244,            0.087213,                   0,                   0,                   0,                   0,             0.11345,              0.0534,            0.084624,            0.088915,          0.00091488,          0.00091488
                  13,             0.12021,             0.11807,            0.086192,                   0,                   0,                   0,                   0,             0.11262,            0.053792,            0.084461,            0.087965,          0.00096538,          0.00096538
                  14,             0.11865,             0.10193,            0.086838,                   0,                   0,                   0,                   0,             0.11185,            0.054104,             0.08426,            0.087012,           0.0010119,           0.0010119
                  15,             0.11784,            0.088379,            0.085975,                   0,                   0,                   0,                   0,             0.11096,             0.05453,             0.08405,            0.086055,           0.0010545,           0.0010545
                  16,             0.11743,            0.096421,            0.087634,                   0,                   0,                   0,                   0,              0.1101,            0.054893,            0.083837,            0.085093,           0.0010931,           0.0010931
                  17,             0.12035,             0.13703,            0.087713,                   0,                   0,                   0,                   0,              0.1101,            0.054893,            0.083837,            0.084128,           0.0011278,           0.0011278
                  18,             0.11582,             0.10909,            0.085326,                   0,                   0,                   0,                   0,              0.1093,            0.055215,            0.083652,            0.083158,           0.0011585,           0.0011585
                  19,             0.11539,             0.10563,            0.086592,                   0,                   0,                   0,                   0,              0.1093,            0.055215,            0.083652,            0.082185,           0.0011852,           0.0011852
                  20,             0.11558,             0.14859,            0.086456,                   0,                   0,                   0,                   0,             0.10856,            0.055457,            0.083487,            0.081208,            0.001208,            0.001208
                  21,             0.11524,             0.11391,            0.085622,                   0,                   0,                   0,                   0,             0.10856,            0.055457,            0.083487,            0.080227,           0.0012268,           0.0012268
                  22,             0.11385,             0.11892,            0.085355,                   0,                   0,                   0,                   0,             0.10775,            0.055767,            0.083325,            0.079242,           0.0012417,           0.0012417
                  23,              0.1122,            0.093051,            0.085479,                   0,                   0,                   0,                   0,             0.10775,            0.055767,            0.083325,            0.078253,           0.0012526,           0.0012526
                  24,             0.11335,             0.12959,            0.085349,                   0,                   0,                   0,                   0,             0.10691,            0.056033,            0.083137,             0.07726,           0.0012595,           0.0012595
                  25,             0.11531,             0.14406,            0.084966,                   0,                   0,                   0,                   0,             0.10691,            0.056033,            0.083137,            0.076263,           0.0012625,           0.0012625
                  26,             0.11254,            0.088101,            0.085539,                   0,                   0,                   0,                   0,             0.10616,             0.05632,            0.082959,            0.075262,           0.0012615,           0.0012615
                  27,             0.11205,             0.11604,            0.085026,                   0,                   0,                   0,                   0,             0.10616,             0.05632,            0.082959,            0.074257,           0.0012566,           0.0012566
                  28,             0.11259,             0.12928,            0.083653,                   0,                   0,                   0,                   0,             0.10536,            0.056672,            0.082777,            0.073248,           0.0012477,           0.0012477
                  29,             0.11263,              0.1164,            0.084277,                   0,                   0,                   0,                   0,             0.10536,            0.056672,            0.082777,            0.072235,           0.0012348,           0.0012348
                  30,              0.1111,            0.088508,            0.084262,                   0,                   0,                   0,                   0,             0.10457,            0.056995,            0.082571,            0.071218,            0.001218,            0.001218
                  31,             0.10877,             0.10483,            0.084304,                   0,                   0,                   0,                   0,             0.10457,            0.056995,            0.082571,            0.070197,           0.0011972,           0.0011972
                  32,             0.10942,             0.11392,            0.083861,                   0,                   0,                   0,                   0,             0.10374,            0.057352,            0.082406,            0.069172,           0.0011725,           0.0011725
                  33,             0.10914,             0.11939,            0.084058,                   0,                   0,                   0,                   0,             0.10374,            0.057352,            0.082406,            0.068144,           0.0011438,           0.0011438
                  34,             0.11266,             0.10691,            0.082454,                   0,                   0,                   0,                   0,             0.10305,            0.057638,            0.082164,            0.067111,           0.0011111,           0.0011111
                  35,             0.10836,             0.12683,            0.083769,                   0,                   0,                   0,                   0,             0.10305,            0.057638,            0.082164,            0.066075,           0.0010745,           0.0010745
                  36,             0.10749,             0.07999,            0.082901,           0.0023923,            0.090909,           0.0032305,          0.00032305,              0.1022,            0.058054,            0.081975,            0.065034,           0.0010339,           0.0010339
                  37,             0.10745,            0.098303,            0.083583,           0.0023923,            0.090909,           0.0032305,          0.00032305,              0.1022,            0.058054,            0.081975,            0.063989,          0.00098938,          0.00098938
                  38,             0.10682,              0.1105,            0.083667,                   0,                   0,                   0,                   0,             0.10138,            0.058376,            0.081808,            0.062941,          0.00094088,          0.00094088
                  39,             0.10585,             0.13948,            0.082728,                   0,                   0,                   0,                   0,             0.10138,            0.058376,            0.081808,            0.061888,          0.00088842,          0.00088842
                  40,             0.10532,             0.11237,             0.08275,           0.0022173,            0.090909,           0.0033502,          0.00067003,             0.10084,            0.058601,            0.081692,            0.060832,            0.000832,            0.000832
                  41,              0.1077,             0.11914,            0.082447,           0.0022173,            0.090909,           0.0033502,          0.00067003,             0.10084,            0.058601,            0.081692,            0.059772,          0.00077162,          0.00077162
                  42,             0.10783,             0.11687,             0.08193,           0.0043869,             0.13636,             0.01881,           0.0022041,             0.10024,            0.058882,            0.081511,            0.058707,          0.00070728,          0.00070728
                  43,             0.10886,             0.12803,            0.083996,           0.0043869,             0.13636,             0.01881,           0.0022041,             0.10024,            0.058882,            0.081511,            0.057639,          0.00063898,          0.00063898
                  44,             0.10606,             0.11533,            0.082347,           0.0042787,             0.13636,             0.01502,           0.0021481,            0.099789,            0.059071,            0.081412,            0.056567,          0.00056672,          0.00056672
                  45,             0.10688,             0.13549,            0.083125,           0.0042787,             0.13636,             0.01502,           0.0021481,            0.099789,            0.059071,            0.081412,             0.05549,           0.0004905,           0.0004905
                  46,             0.10791,             0.13324,            0.082585,            0.004329,             0.13636,            0.012782,           0.0025565,             0.09944,            0.059257,            0.081305,             0.05441,          0.00041032,          0.00041032
                  47,             0.11208,             0.15265,            0.084304,            0.004329,             0.13636,            0.012782,           0.0025565,             0.09944,            0.059257,            0.081305,            0.053326,          0.00032618,          0.00032618
                  48,             0.10848,             0.10321,            0.083734,           0.0058081,             0.18182,            0.012299,           0.0028295,            0.099353,            0.059336,             0.08123,            0.052238,          0.00023808,          0.00023808
                  49,             0.10573,             0.12245,            0.082581,           0.0058081,             0.18182,            0.012299,           0.0028295,            0.099353,            0.059336,             0.08123,            0.051146,          0.00014602,          0.00014602
                   0,             0.12238,            0.066715,            0.087945,            0.002907,            0.027778,             0.00774,           0.0008488,             0.12333,            0.058908,            0.090696,              0.0991,              0.0001,              0.0001
                   1,             0.12167,            0.054883,            0.086601,           0.0031407,            0.034722,            0.013617,           0.0014343,             0.12213,             0.05955,            0.090228,            0.097294,          0.00029406,          0.00029406
