               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12736,            0.051581,            0.089841,                   0,                   0,                   0,                   0,             0.12863,            0.056113,            0.091096,              0.0991,              0.0001,              0.0001
                   1,             0.12581,            0.048276,            0.089923,                   0,                   0,                   0,                   0,             0.12786,            0.055823,            0.090883,            0.097297,          0.00029703,          0.00029703
                   2,             0.12447,            0.054043,            0.089746,                   0,                   0,                   0,                   0,             0.12653,            0.055745,            0.090558,             0.09549,           0.0004901,           0.0004901
                   0,             0.12736,            0.051581,            0.089841,                   0,                   0,                   0,                   0,             0.12863,            0.056113,            0.091096,              0.0991,              0.0001,              0.0001
                   1,             0.12581,            0.048276,            0.089923,                   0,                   0,                   0,                   0,             0.12786,            0.055823,            0.090883,            0.097297,          0.00029703,          0.00029703
                   2,             0.12447,            0.054043,            0.089746,                   0,                   0,                   0,                   0,             0.12653,            0.055745,            0.090558,             0.09549,           0.0004901,           0.0004901
                   3,             0.12201,            0.051251,            0.087883,                   0,                   0,                   0,                   0,             0.12461,            0.055995,            0.090167,            0.093679,          0.00067921,          0.00067921
                   4,             0.11834,            0.063167,            0.086762,                   0,                   0,                   0,                   0,              0.1219,            0.056611,            0.089629,            0.091864,          0.00086436,          0.00086436
                   5,             0.11706,            0.057318,            0.087678,                   0,                   0,                   0,                   0,             0.11793,            0.057799,            0.089074,            0.090046,           0.0010455,           0.0010455
                   6,             0.11198,            0.074268,             0.08503,                   0,                   0,                   0,                   0,             0.11231,            0.059412,            0.088528,            0.088223,           0.0012228,           0.0012228
                   7,             0.10704,            0.067279,            0.083571,            0.012612,            0.047619,            0.030661,           0.0043481,             0.10393,            0.061441,            0.087937,            0.086396,            0.001396,            0.001396
                   8,             0.10223,            0.062232,            0.085077,            0.018516,            0.095238,            0.037003,            0.009045,            0.099569,            0.062763,            0.087699,            0.084565,           0.0015654,           0.0015654
                   9,             0.10014,            0.059561,            0.083708,            0.021823,             0.11905,            0.041169,             0.01151,             0.09564,            0.064029,             0.08748,            0.082731,           0.0017307,           0.0017307
                  10,             0.10001,            0.075957,            0.083081,            0.023568,             0.14286,            0.043549,            0.011748,            0.092625,             0.06504,            0.087027,            0.080892,           0.0018921,           0.0018921
                  11,            0.098658,            0.080622,            0.081604,            0.027801,             0.25952,            0.050806,              0.0152,            0.090176,             0.06566,            0.086498,             0.07905,           0.0020495,           0.0020495
                  12,            0.092519,            0.082598,            0.080724,            0.033834,             0.34762,              0.0602,            0.018802,            0.087575,            0.066144,             0.08592,            0.077203,            0.002203,            0.002203
                  13,             0.09171,            0.071259,            0.080892,            0.049721,              0.5119,            0.068448,            0.028485,             0.08522,            0.066053,            0.085161,            0.075353,           0.0023525,           0.0023525
                  14,            0.087204,            0.077808,            0.080073,            0.059704,             0.49127,            0.097326,            0.042798,            0.082848,            0.065466,            0.084417,            0.073498,           0.0024981,           0.0024981
                  15,            0.088408,            0.077571,            0.078172,            0.070286,             0.70238,             0.16183,            0.067095,            0.080485,            0.064827,            0.083639,             0.07164,           0.0026396,           0.0026396
                  16,            0.085009,            0.077782,             0.07621,            0.070089,             0.76984,             0.17828,            0.071817,            0.078304,            0.063561,            0.082737,            0.069777,           0.0027773,           0.0027773
                  17,            0.083598,            0.077287,             0.07492,            0.066972,             0.79365,             0.20855,            0.090912,            0.075507,            0.062707,            0.081793,            0.067911,           0.0029109,           0.0029109
                  18,            0.080698,            0.079808,            0.074264,            0.072856,             0.84127,             0.23958,            0.087139,            0.072881,            0.061526,            0.080602,            0.066041,           0.0030407,           0.0030407
                  19,            0.080985,            0.085147,            0.075138,            0.072521,             0.71746,             0.26939,             0.11509,            0.070589,            0.059998,            0.079375,            0.064166,           0.0031664,           0.0031664
